ts,used_mib,available_mib,swap_mib,container_rss_mib,running,waiting,kv_pct,prefix_hit_pct,prompt_tps,gen_tps
2026-04-12T21:32:02.230+00:00,77047,47503,10048,280,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:05.850+00:00,78422,46127,9989,280,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:07.881+00:00,81613,42936,9909,280,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:09.898+00:00,82216,42333,10085,280,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:11.950+00:00,77114,47435,10239,280,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:13.974+00:00,77240,47309,9940,646,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:17.534+00:00,82731,41818,9906,646,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:19.553+00:00,82187,42362,9873,646,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:21.581+00:00,81596,42954,9869,646,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:23.614+00:00,77893,46656,9867,646,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:25.661+00:00,77890,46660,9866,556,0,0,0.0,0.0,0.0,0.0
2026-04-12T21:32:29.247+00:00,79284,45265,9859,556,4,0,2.0,0.0,31.6,96.9
2026-04-12T21:32:31.283+00:00,81062,43487,9855,556,4,0,2.0,0.0,31.6,96.9
2026-04-12T21:32:33.316+00:00,80802,43748,9851,556,4,0,2.0,0.0,31.6,96.9
2026-04-12T21:32:35.349+00:00,80930,43620,9709,556,4,0,2.0,0.0,31.6,96.9
2026-04-12T21:32:37.380+00:00,79463,45086,9693,561,4,0,2.0,0.0,0.0,133.6
2026-04-12T21:32:40.946+00:00,77897,46652,9630,561,4,0,2.0,0.0,0.0,133.6
2026-04-12T21:32:42.974+00:00,69982,54567,9609,561,4,0,2.0,0.0,0.0,133.6
2026-04-12T21:32:45.003+00:00,67646,56903,9508,561,4,0,2.0,0.0,0.0,133.6
2026-04-12T21:32:47.035+00:00,67634,56915,9505,561,4,0,2.0,0.0,0.0,140.0
2026-04-12T21:32:49.066+00:00,67694,56856,9501,598,4,0,2.0,0.0,0.0,140.0
2026-04-12T21:32:52.624+00:00,67598,56951,9500,598,4,0,2.0,0.0,0.0,140.0
2026-04-12T21:32:54.655+00:00,67585,56964,9498,598,4,0,2.0,0.0,0.0,140.0
2026-04-12T21:32:56.685+00:00,67536,57013,9494,598,4,0,2.5,0.0,0.0,138.4
2026-04-12T21:32:58.713+00:00,67481,57068,9491,598,4,0,2.5,0.0,0.0,138.4
2026-04-12T21:33:00.743+00:00,67439,57110,9479,599,4,0,2.5,0.0,0.0,138.4
